"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	Count
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Pennsylvania"	"42"	1900
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Rhode Island"	"44"	138
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"South Carolina"	"45"	566
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"South Dakota"	"46"	127
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Tennessee"	"47"	829
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Texas"	"48"	2643
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Utah"	"49"	210
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Vermont"	"50"	91
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Virginia"	"51"	897
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Washington"	"53"	790
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"West Virginia"	"54"	292
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Wisconsin"	"55"	645
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"Wyoming"	"56"	89
	"Rectosigmoid Junction"	"21051"	"Alabama"	"01"	171
	"Rectosigmoid Junction"	"21051"	"Alaska"	"02"	21
	"Rectosigmoid Junction"	"21051"	"Arizona"	"04"	200
	"Rectosigmoid Junction"	"21051"	"Arkansas"	"05"	96
	"Rectosigmoid Junction"	"21051"	"California"	"06"	1138
	"Rectosigmoid Junction"	"21051"	"Colorado"	"08"	120
	"Rectosigmoid Junction"	"21051"	"Connecticut"	"09"	125
	"Rectosigmoid Junction"	"21051"	"Delaware"	"10"	25
	"Rectosigmoid Junction"	"21051"	"Florida"	"12"	696
	"Rectosigmoid Junction"	"21051"	"Georgia"	"13"	294
	"Rectosigmoid Junction"	"21051"	"Hawaii"	"15"	65
	"Rectosigmoid Junction"	"21051"	"Idaho"	"16"	33
	"Rectosigmoid Junction"	"21051"	"Illinois"	"17"	459
	"Rectosigmoid Junction"	"21051"	"Indiana"	"18"	180
	"Rectosigmoid Junction"	"21051"	"Iowa"	"19"	111
	"Rectosigmoid Junction"	"21051"	"Kansas"	"20"	86
	"Rectosigmoid Junction"	"21051"	"Kentucky"	"21"	189
	"Rectosigmoid Junction"	"21051"	"Louisiana"	"22"	147
	"Rectosigmoid Junction"	"21051"	"Maine"	"23"	62
	"Rectosigmoid Junction"	"21051"	"Maryland"	"24"	148
	"Rectosigmoid Junction"	"21051"	"Massachusetts"	"25"	219
	"Rectosigmoid Junction"	"21051"	"Michigan"	"26"	316
	"Rectosigmoid Junction"	"21051"	"Minnesota"	"27"	134
	"Rectosigmoid Junction"	"21051"	"Mississippi"	"28"	89
	"Rectosigmoid Junction"	"21051"	"Missouri"	"29"	174
	"Rectosigmoid Junction"	"21051"	"Montana"	"30"	46
	"Rectosigmoid Junction"	"21051"	"Nebraska"	"31"	71
	"Rectosigmoid Junction"	"21051"	"Nevada"	"32"	91
	"Rectosigmoid Junction"	"21051"	"New Hampshire"	"33"	34
	"Rectosigmoid Junction"	"21051"	"New Jersey"	"34"	384
	"Rectosigmoid Junction"	"21051"	"New Mexico"	"35"	69
	"Rectosigmoid Junction"	"21051"	"New York"	"36"	740
	"Rectosigmoid Junction"	"21051"	"North Carolina"	"37"	241
	"Rectosigmoid Junction"	"21051"	"North Dakota"	"38"	29
	"Rectosigmoid Junction"	"21051"	"Ohio"	"39"	368
	"Rectosigmoid Junction"	"21051"	"Oklahoma"	"40"	149
	"Rectosigmoid Junction"	"21051"	"Oregon"	"41"	111
	"Rectosigmoid Junction"	"21051"	"Pennsylvania"	"42"	503
	"Rectosigmoid Junction"	"21051"	"Rhode Island"	"44"	46
	"Rectosigmoid Junction"	"21051"	"South Carolina"	"45"	115
	"Rectosigmoid Junction"	"21051"	"South Dakota"	"46"	24
	"Rectosigmoid Junction"	"21051"	"Tennessee"	"47"	199
	"Rectosigmoid Junction"	"21051"	"Texas"	"48"	665
	"Rectosigmoid Junction"	"21051"	"Utah"	"49"	44
	"Rectosigmoid Junction"	"21051"	"Vermont"	"50"	25
	"Rectosigmoid Junction"	"21051"	"Virginia"	"51"	212
	"Rectosigmoid Junction"	"21051"	"Washington"	"53"	195
	"Rectosigmoid Junction"	"21051"	"West Virginia"	"54"	76
	"Rectosigmoid Junction"	"21051"	"Wisconsin"	"55"	143
	"Rectosigmoid Junction"	"21051"	"Wyoming"	"56"	28
	"Rectum"	"21052"	"Alabama"	"01"	458
	"Rectum"	"21052"	"Alaska"	"02"	67
	"Rectum"	"21052"	"Arizona"	"04"	465
	"Rectum"	"21052"	"Arkansas"	"05"	297
	"Rectum"	"21052"	"California"	"06"	3275
	"Rectum"	"21052"	"Colorado"	"08"	382
	"Rectum"	"21052"	"Connecticut"	"09"	369
	"Rectum"	"21052"	"Delaware"	"10"	80
	"Rectum"	"21052"	"District of Columbia"	"11"	60
	"Rectum"	"21052"	"Florida"	"12"	1715
	"Rectum"	"21052"	"Georgia"	"13"	826
	"Rectum"	"21052"	"Hawaii"	"15"	175
	"Rectum"	"21052"	"Idaho"	"16"	141
	"Rectum"	"21052"	"Illinois"	"17"	1398
	"Rectum"	"21052"	"Indiana"	"18"	658
	"Rectum"	"21052"	"Iowa"	"19"	348
	"Rectum"	"21052"	"Kansas"	"20"	247
	"Rectum"	"21052"	"Kentucky"	"21"	552
	"Rectum"	"21052"	"Louisiana"	"22"	536
	"Rectum"	"21052"	"Maine"	"23"	138
	"Rectum"	"21052"	"Maryland"	"24"	499
	"Rectum"	"21052"	"Massachusetts"	"25"	668
	"Rectum"	"21052"	"Michigan"	"26"	1004
	"Rectum"	"21052"	"Minnesota"	"27"	516
	"Rectum"	"21052"	"Mississippi"	"28"	353
	"Rectum"	"21052"	"Missouri"	"29"	649
	"Rectum"	"21052"	"Montana"	"30"	107
	"Rectum"	"21052"	"Nebraska"	"31"	187
	"Rectum"	"21052"	"Nevada"	"32"	244
	"Rectum"	"21052"	"New Hampshire"	"33"	117
	"Rectum"	"21052"	"New Jersey"	"34"	839
	"Rectum"	"21052"	"New Mexico"	"35"	180
	"Rectum"	"21052"	"New York"	"36"	1928
	"Rectum"	"21052"	"North Carolina"	"37"	831
	"Rectum"	"21052"	"North Dakota"	"38"	72
	"Rectum"	"21052"	"Ohio"	"39"	1121
	"Rectum"	"21052"	"Oklahoma"	"40"	344
	"Rectum"	"21052"	"Oregon"	"41"	370
	"Rectum"	"21052"	"Pennsylvania"	"42"	1397
	"Rectum"	"21052"	"Rhode Island"	"44"	92
	"Rectum"	"21052"	"South Carolina"	"45"	451
	"Rectum"	"21052"	"South Dakota"	"46"	103
	"Rectum"	"21052"	"Tennessee"	"47"	630
	"Rectum"	"21052"	"Texas"	"48"	1978
	"Rectum"	"21052"	"Utah"	"49"	166
	"Rectum"	"21052"	"Vermont"	"50"	66
	"Rectum"	"21052"	"Virginia"	"51"	685
	"Rectum"	"21052"	"Washington"	"53"	595
	"Rectum"	"21052"	"West Virginia"	"54"	216
	"Rectum"	"21052"	"Wisconsin"	"55"	502
	"Rectum"	"21052"	"Wyoming"	"56"	61
	"Anus, Anal Canal and Anorectum"	"21060"	"Alabama"	"01"	107
	"Anus, Anal Canal and Anorectum"	"21060"	"Arizona"	"04"	83
	"Anus, Anal Canal and Anorectum"	"21060"	"Arkansas"	"05"	63
	"Anus, Anal Canal and Anorectum"	"21060"	"California"	"06"	684
	"Anus, Anal Canal and Anorectum"	"21060"	"Colorado"	"08"	95
	"Anus, Anal Canal and Anorectum"	"21060"	"Connecticut"	"09"	65
	"Anus, Anal Canal and Anorectum"	"21060"	"Delaware"	"10"	19
	"Anus, Anal Canal and Anorectum"	"21060"	"Florida"	"12"	508
	"Anus, Anal Canal and Anorectum"	"21060"	"Georgia"	"13"	183
	"Anus, Anal Canal and Anorectum"	"21060"	"Idaho"	"16"	28
	"Anus, Anal Canal and Anorectum"	"21060"	"Illinois"	"17"	229
	"Anus, Anal Canal and Anorectum"	"21060"	"Indiana"	"18"	114
	"Anus, Anal Canal and Anorectum"	"21060"	"Iowa"	"19"	63
	"Anus, Anal Canal and Anorectum"	"21060"	"Kansas"	"20"	45
	"Anus, Anal Canal and Anorectum"	"21060"	"Kentucky"	"21"	104
	"Anus, Anal Canal and Anorectum"	"21060"	"Louisiana"	"22"	89
	"Anus, Anal Canal and Anorectum"	"21060"	"Maine"	"23"	30
	"Anus, Anal Canal and Anorectum"	"21060"	"Maryland"	"24"	104
	"Anus, Anal Canal and Anorectum"	"21060"	"Massachusetts"	"25"	128
	"Anus, Anal Canal and Anorectum"	"21060"	"Michigan"	"26"	200
	"Anus, Anal Canal and Anorectum"	"21060"	"Minnesota"	"27"	78
	"Anus, Anal Canal and Anorectum"	"21060"	"Mississippi"	"28"	75
	"Anus, Anal Canal and Anorectum"	"21060"	"Missouri"	"29"	136
	"Anus, Anal Canal and Anorectum"	"21060"	"Montana"	"30"	22
	"Anus, Anal Canal and Anorectum"	"21060"	"Nebraska"	"31"	29
	"Anus, Anal Canal and Anorectum"	"21060"	"Nevada"	"32"	60
	"Anus, Anal Canal and Anorectum"	"21060"	"New Hampshire"	"33"	31
	"Anus, Anal Canal and Anorectum"	"21060"	"New Jersey"	"34"	171
	"Anus, Anal Canal and Anorectum"	"21060"	"New Mexico"	"35"	32
	"Anus, Anal Canal and Anorectum"	"21060"	"New York"	"36"	390
	"Anus, Anal Canal and Anorectum"	"21060"	"North Carolina"	"37"	164
	"Anus, Anal Canal and Anorectum"	"21060"	"Ohio"	"39"	208
	"Anus, Anal Canal and Anorectum"	"21060"	"Oklahoma"	"40"	88
	"Anus, Anal Canal and Anorectum"	"21060"	"Oregon"	"41"	102
	"Anus, Anal Canal and Anorectum"	"21060"	"Pennsylvania"	"42"	268
	"Anus, Anal Canal and Anorectum"	"21060"	"Rhode Island"	"44"	25
	"Anus, Anal Canal and Anorectum"	"21060"	"South Carolina"	"45"	85
	"Anus, Anal Canal and Anorectum"	"21060"	"Tennessee"	"47"	140
	"Anus, Anal Canal and Anorectum"	"21060"	"Texas"	"48"	358
	"Anus, Anal Canal and Anorectum"	"21060"	"Utah"	"49"	25
	"Anus, Anal Canal and Anorectum"	"21060"	"Virginia"	"51"	147
	"Anus, Anal Canal and Anorectum"	"21060"	"Washington"	"53"	139
	"Anus, Anal Canal and Anorectum"	"21060"	"West Virginia"	"54"	38
	"Anus, Anal Canal and Anorectum"	"21060"	"Wisconsin"	"55"	96
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Alabama"	"01"	340
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Alaska"	"02"	54
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Arizona"	"04"	472
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Arkansas"	"05"	203
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"California"	"06"	3590
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Colorado"	"08"	390
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Connecticut"	"09"	329
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Delaware"	"10"	97
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"District of Columbia"	"11"	79
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Florida"	"12"	1714
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Georgia"	"13"	613
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Hawaii"	"15"	180
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Idaho"	"16"	83
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Illinois"	"17"	1008
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Indiana"	"18"	430
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Iowa"	"19"	188
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kansas"	"20"	172
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Kentucky"	"21"	321
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Louisiana"	"22"	386
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Maine"	"23"	80
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Maryland"	"24"	453
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Massachusetts"	"25"	576
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Michigan"	"26"	755
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	284
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Mississippi"	"28"	210
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Missouri"	"29"	505
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Montana"	"30"	65
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Nebraska"	"31"	113
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Nevada"	"32"	179
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"New Hampshire"	"33"	72
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"New Jersey"	"34"	698
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"New Mexico"	"35"	196
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"New York"	"36"	1781
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"North Carolina"	"37"	697
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"North Dakota"	"38"	31
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Ohio"	"39"	828
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Oklahoma"	"40"	258
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Oregon"	"41"	354
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Pennsylvania"	"42"	1128
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Rhode Island"	"44"	83
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"South Carolina"	"45"	360
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"South Dakota"	"46"	28
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Tennessee"	"47"	467
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Texas"	"48"	2443
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Utah"	"49"	111
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Vermont"	"50"	52
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Virginia"	"51"	576
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Washington"	"53"	581
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"West Virginia"	"54"	123
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Wisconsin"	"55"	417
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Wyoming"	"56"	33
	"Liver"	"21071"	"Alabama"	"01"	302
	"Liver"	"21071"	"Alaska"	"02"	48
	"Liver"	"21071"	"Arizona"	"04"	431
	"Liver"	"21071"	"Arkansas"	"05"	187
	"Liver"	"21071"	"California"	"06"	3284
	"Liver"	"21071"	"Colorado"	"08"	345
	"Liver"	"21071"	"Connecticut"	"09"	295
	"Liver"	"21071"	"Delaware"	"10"	92
	"Liver"	"21071"	"District of Columbia"	"11"	74
	"Liver"	"21071"	"Florida"	"12"	1530
	"Liver"	"21071"	"Georgia"	"13"	547
	"Liver"	"21071"	"Hawaii"	"15"	154
	"Liver"	"21071"	"Idaho"	"16"	72
	"Liver"	"21071"	"Illinois"	"17"	872
	"Liver"	"21071"	"Indiana"	"18"	367
	"Liver"	"21071"	"Iowa"	"19"	155
	"Liver"	"21071"	"Kansas"	"20"	147
	"Liver"	"21071"	"Kentucky"	"21"	287
	"Liver"	"21071"	"Louisiana"	"22"	360
	"Liver"	"21071"	"Maine"	"23"	68
	"Liver"	"21071"	"Maryland"	"24"	404
	"Liver"	"21071"	"Massachusetts"	"25"	490
	"Liver"	"21071"	"Michigan"	"26"	659
	"Liver"	"21071"	"Minnesota"	"27"	221
	"Liver"	"21071"	"Mississippi"	"28"	189
	"Liver"	"21071"	"Missouri"	"29"	426
	"Liver"	"21071"	"Montana"	"30"	55
	"Liver"	"21071"	"Nebraska"	"31"	96
	"Liver"	"21071"	"Nevada"	"32"	173
	"Liver"	"21071"	"New Hampshire"	"33"	65
	"Liver"	"21071"	"New Jersey"	"34"	598
	"Liver"	"21071"	"New Mexico"	"35"	176
	"Liver"	"21071"	"New York"	"36"	1533
	"Liver"	"21071"	"North Carolina"	"37"	603
	"Liver"	"21071"	"North Dakota"	"38"	20
	"Liver"	"21071"	"Ohio"	"39"	716
	"Liver"	"21071"	"Oklahoma"	"40"	227
	"Liver"	"21071"	"Oregon"	"41"	309
	"Liver"	"21071"	"Pennsylvania"	"42"	985
	"Liver"	"21071"	"Rhode Island"	"44"	70
	"Liver"	"21071"	"South Carolina"	"45"	311
	"Liver"	"21071"	"South Dakota"	"46"	26
	"Liver"	"21071"	"Tennessee"	"47"	428
	"Liver"	"21071"	"Texas"	"48"	2241
	"Liver"	"21071"	"Utah"	"49"	89
	"Liver"	"21071"	"Vermont"	"50"	47
	"Liver"	"21071"	"Virginia"	"51"	511
	"Liver"	"21071"	"Washington"	"53"	508
	"Liver"	"21071"	"West Virginia"	"54"	112
	"Liver"	"21071"	"Wisconsin"	"55"	349
	"Liver"	"21071"	"Wyoming"	"56"	28
	"Intrahepatic Bile Duct"	"21072"	"Alabama"	"01"	38
	"Intrahepatic Bile Duct"	"21072"	"Arizona"	"04"	41
	"Intrahepatic Bile Duct"	"21072"	"Arkansas"	"05"	16
	"Intrahepatic Bile Duct"	"21072"	"California"	"06"	306
	"Intrahepatic Bile Duct"	"21072"	"Colorado"	"08"	45
	"Intrahepatic Bile Duct"	"21072"	"Connecticut"	"09"	34
	"Intrahepatic Bile Duct"	"21072"	"Florida"	"12"	184
	"Intrahepatic Bile Duct"	"21072"	"Georgia"	"13"	66
	"Intrahepatic Bile Duct"	"21072"	"Hawaii"	"15"	26
	"Intrahepatic Bile Duct"	"21072"	"Illinois"	"17"	136
	"Intrahepatic Bile Duct"	"21072"	"Indiana"	"18"	63
	"Intrahepatic Bile Duct"	"21072"	"Iowa"	"19"	33
	"Intrahepatic Bile Duct"	"21072"	"Kansas"	"20"	25
	"Intrahepatic Bile Duct"	"21072"	"Kentucky"	"21"	34
	"Intrahepatic Bile Duct"	"21072"	"Louisiana"	"22"	26
	"Intrahepatic Bile Duct"	"21072"	"Maryland"	"24"	49
	"Intrahepatic Bile Duct"	"21072"	"Massachusetts"	"25"	86
	"Intrahepatic Bile Duct"	"21072"	"Michigan"	"26"	96
	"Intrahepatic Bile Duct"	"21072"	"Minnesota"	"27"	63
	"Intrahepatic Bile Duct"	"21072"	"Mississippi"	"28"	21
	"Intrahepatic Bile Duct"	"21072"	"Missouri"	"29"	79
	"Intrahepatic Bile Duct"	"21072"	"Nebraska"	"31"	17
	"Intrahepatic Bile Duct"	"21072"	"New Jersey"	"34"	100
	"Intrahepatic Bile Duct"	"21072"	"New Mexico"	"35"	20
	"Intrahepatic Bile Duct"	"21072"	"New York"	"36"	248
	"Intrahepatic Bile Duct"	"21072"	"North Carolina"	"37"	94
	"Intrahepatic Bile Duct"	"21072"	"Ohio"	"39"	112
	"Intrahepatic Bile Duct"	"21072"	"Oklahoma"	"40"	31
	"Intrahepatic Bile Duct"	"21072"	"Oregon"	"41"	45
	"Intrahepatic Bile Duct"	"21072"	"Pennsylvania"	"42"	143
	"Intrahepatic Bile Duct"	"21072"	"South Carolina"	"45"	49
	"Intrahepatic Bile Duct"	"21072"	"Tennessee"	"47"	39
	"Intrahepatic Bile Duct"	"21072"	"Texas"	"48"	202
	"Intrahepatic Bile Duct"	"21072"	"Utah"	"49"	22
	"Intrahepatic Bile Duct"	"21072"	"Virginia"	"51"	65
	"Intrahepatic Bile Duct"	"21072"	"Washington"	"53"	73
	"Intrahepatic Bile Duct"	"21072"	"Wisconsin"	"55"	68
	"Gallbladder"	"21080"	"Alabama"	"01"	40
	"Gallbladder"	"21080"	"Arizona"	"04"	82
	"Gallbladder"	"21080"	"Arkansas"	"05"	42
	"Gallbladder"	"21080"	"California"	"06"	398
	"Gallbladder"	"21080"	"Colorado"	"08"	44
	"Gallbladder"	"21080"	"Connecticut"	"09"	46
	"Gallbladder"	"21080"	"Delaware"	"10"	17
	"Gallbladder"	"21080"	"Florida"	"12"	258
	"Gallbladder"	"21080"	"Georgia"	"13"	85
	"Gallbladder"	"21080"	"Hawaii"	"15"	16
	"Gallbladder"	"21080"	"Idaho"	"16"	19
	"Gallbladder"	"21080"	"Illinois"	"17"	175
	"Gallbladder"	"21080"	"Indiana"	"18"	79
	"Gallbladder"	"21080"	"Iowa"	"19"	50
	"Gallbladder"	"21080"	"Kansas"	"20"	31
	"Gallbladder"	"21080"	"Kentucky"	"21"	49
	"Gallbladder"	"21080"	"Louisiana"	"22"	53
	"Gallbladder"	"21080"	"Maine"	"23"	19
	"Gallbladder"	"21080"	"Maryland"	"24"	66
	"Gallbladder"	"21080"	"Massachusetts"	"25"	100
	"Gallbladder"	"21080"	"Michigan"	"26"	135
	"Gallbladder"	"21080"	"Minnesota"	"27"	73
	"Gallbladder"	"21080"	"Mississippi"	"28"	38
	"Gallbladder"	"21080"	"Missouri"	"29"	76
	"Gallbladder"	"21080"	"Nebraska"	"31"	27
	"Gallbladder"	"21080"	"Nevada"	"32"	19
	"Gallbladder"	"21080"	"New Hampshire"	"33"	16
	"Gallbladder"	"21080"	"New Jersey"	"34"	143
	"Gallbladder"	"21080"	"New Mexico"	"35"	29
	"Gallbladder"	"21080"	"New York"	"36"	296
	"Gallbladder"	"21080"	"North Carolina"	"37"	104
	"Gallbladder"	"21080"	"Ohio"	"39"	139
	"Gallbladder"	"21080"	"Oklahoma"	"40"	48
	"Gallbladder"	"21080"	"Oregon"	"41"	38
	"Gallbladder"	"21080"	"Pennsylvania"	"42"	178
	"Gallbladder"	"21080"	"Rhode Island"	"44"	17
	"Gallbladder"	"21080"	"South Carolina"	"45"	60
	"Gallbladder"	"21080"	"Tennessee"	"47"	53
	"Gallbladder"	"21080"	"Texas"	"48"	273
	"Gallbladder"	"21080"	"Utah"	"49"	21
	"Gallbladder"	"21080"	"Virginia"	"51"	80
	"Gallbladder"	"21080"	"Washington"	"53"	78
	"Gallbladder"	"21080"	"West Virginia"	"54"	26
	"Gallbladder"	"21080"	"Wisconsin"	"55"	70
	"Other Biliary"	"21090"	"Alabama"	"01"	72
	"Other Biliary"	"21090"	"Arizona"	"04"	102
	"Other Biliary"	"21090"	"Arkansas"	"05"	36
	"Other Biliary"	"21090"	"California"	"06"	737
	"Other Biliary"	"21090"	"Colorado"	"08"	76
	"Other Biliary"	"21090"	"Connecticut"	"09"	83
	"Other Biliary"	"21090"	"Delaware"	"10"	19
	"Other Biliary"	"21090"	"Florida"	"12"	398
	"Other Biliary"	"21090"	"Georgia"	"13"	157
	"Other Biliary"	"21090"	"Hawaii"	"15"	29
	"Other Biliary"	"21090"	"Idaho"	"16"	27
	"Other Biliary"	"21090"	"Illinois"	"17"	256
	"Other Biliary"	"21090"	"Indiana"	"18"	129
	"Other Biliary"	"21090"	"Iowa"	"19"	54
	"Other Biliary"	"21090"	"Kansas"	"20"	37
	"Other Biliary"	"21090"	"Kentucky"	"21"	88
	"Other Biliary"	"21090"	"Louisiana"	"22"	70
	"Other Biliary"	"21090"	"Maine"	"23"	28
	"Other Biliary"	"21090"	"Maryland"	"24"	122
	"Other Biliary"	"21090"	"Massachusetts"	"25"	165
	"Other Biliary"	"21090"	"Michigan"	"26"	214
	"Other Biliary"	"21090"	"Minnesota"	"27"	115
	"Other Biliary"	"21090"	"Mississippi"	"28"	47
	"Other Biliary"	"21090"	"Missouri"	"29"	101
	"Other Biliary"	"21090"	"Nebraska"	"31"	37
	"Other Biliary"	"21090"	"Nevada"	"32"	38
	"Other Biliary"	"21090"	"New Hampshire"	"33"	20
	"Other Biliary"	"21090"	"New Jersey"	"34"	181
	"Other Biliary"	"21090"	"New Mexico"	"35"	33
	"Other Biliary"	"21090"	"New York"	"36"	445
	"Other Biliary"	"21090"	"North Carolina"	"37"	149
	"Other Biliary"	"21090"	"Ohio"	"39"	201
	"Other Biliary"	"21090"	"Oklahoma"	"40"	58
	"Other Biliary"	"21090"	"Oregon"	"41"	72
	"Other Biliary"	"21090"	"Pennsylvania"	"42"	293
	"Other Biliary"	"21090"	"Rhode Island"	"44"	26
	"Other Biliary"	"21090"	"South Carolina"	"45"	59
	"Other Biliary"	"21090"	"South Dakota"	"46"	19
	"Other Biliary"	"21090"	"Tennessee"	"47"	116
	"Other Biliary"	"21090"	"Texas"	"48"	404
	"Other Biliary"	"21090"	"Utah"	"49"	31
	"Other Biliary"	"21090"	"Virginia"	"51"	113
	"Other Biliary"	"21090"	"Washington"	"53"	117
	"Other Biliary"	"21090"	"West Virginia"	"54"	48
	"Other Biliary"	"21090"	"Wisconsin"	"55"	101
	"Pancreas"	"21100"	"Alabama"	"01"	670
	"Pancreas"	"21100"	"Alaska"	"02"	64
	"Pancreas"	"21100"	"Arizona"	"04"	751
	"Pancreas"	"21100"	"Arkansas"	"05"	379
	"Pancreas"	"21100"	"California"	"06"	4294
	"Pancreas"	"21100"	"Colorado"	"08"	526
	"Pancreas"	"21100"	"Connecticut"	"09"	558
	"Pancreas"	"21100"	"Delaware"	"10"	126
	"Pancreas"	"21100"	"District of Columbia"	"11"	77
	"Pancreas"	"21100"	"Florida"	"12"	2912
	"Pancreas"	"21100"	"Georgia"	"13"	1057
	"Pancreas"	"21100"	"Hawaii"	"15"	229
	"Pancreas"	"21100"	"Idaho"	"16"	202
	"Pancreas"	"21100"	"Illinois"	"17"	1762
	"Pancreas"	"21100"	"Indiana"	"18"	863
	"Pancreas"	"21100"	"Iowa"	"19"	464
	"Pancreas"	"21100"	"Kansas"	"20"	327
	"Pancreas"	"21100"	"Kentucky"	"21"	609
	"Pancreas"	"21100"	"Louisiana"	"22"	626
	"Pancreas"	"21100"	"Maine"	"23"	235
	"Pancreas"	"21100"	"Maryland"	"24"	789
	"Pancreas"	"21100"	"Massachusetts"	"25"	888
	"Pancreas"	"21100"	"Michigan"	"26"	1484
	"Pancreas"	"21100"	"Minnesota"	"27"	602
	"Pancreas"	"21100"	"Mississippi"	"28"	408
	"Pancreas"	"21100"	"Missouri"	"29"	877
	"Pancreas"	"21100"	"Montana"	"30"	148
	"Pancreas"	"21100"	"Nebraska"	"31"	228
	"Pancreas"	"21100"	"Nevada"	"32"	297
	"Pancreas"	"21100"	"New Hampshire"	"33"	190
	"Pancreas"	"21100"	"New Jersey"	"34"	1323
	"Pancreas"	"21100"	"New Mexico"	"35"	221
	"Pancreas"	"21100"	"New York"	"36"	3004
	"Pancreas"	"21100"	"North Carolina"	"37"	1247
	"Pancreas"	"21100"	"North Dakota"	"38"	89
	"Pancreas"	"21100"	"Ohio"	"39"	1671
	"Pancreas"	"21100"	"Oklahoma"	"40"	480
	"Pancreas"	"21100"	"Oregon"	"41"	510
	"Pancreas"	"21100"	"Pennsylvania"	"42"	2140
	"Pancreas"	"21100"	"Rhode Island"	"44"	141
	"Pancreas"	"21100"	"South Carolina"	"45"	687
	"Pancreas"	"21100"	"South Dakota"	"46"	104
	"Pancreas"	"21100"	"Tennessee"	"47"	830
	"Pancreas"	"21100"	"Texas"	"48"	2667
	"Pancreas"	"21100"	"Utah"	"49"	218
	"Pancreas"	"21100"	"Vermont"	"50"	90
	"Pancreas"	"21100"	"Virginia"	"51"	935
	"Pancreas"	"21100"	"Washington"	"53"	852
	"Pancreas"	"21100"	"West Virginia"	"54"	244
	"Pancreas"	"21100"	"Wisconsin"	"55"	816
