"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	Count
	"Respiratory System"	"22010-22060"	"2008"	"2008"	4466
	"Respiratory System"	"22010-22060"	"2009"	"2009"	4363
	"Respiratory System"	"22010-22060"	"2010"	"2010"	4330
	"Respiratory System"	"22010-22060"	"2011"	"2011"	4318
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2000"	"2000"	26
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2001"	"2001"	38
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2002"	"2002"	22
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2003"	"2003"	35
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2004"	"2004"	31
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2005"	"2005"	37
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2006"	"2006"	31
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2007"	"2007"	40
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2008"	"2008"	34
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2009"	"2009"	46
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2010"	"2010"	35
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2011"	"2011"	35
	"Larynx"	"22020"	"2000"	"2000"	245
	"Larynx"	"22020"	"2001"	"2001"	241
	"Larynx"	"22020"	"2002"	"2002"	239
	"Larynx"	"22020"	"2003"	"2003"	228
	"Larynx"	"22020"	"2004"	"2004"	278
	"Larynx"	"22020"	"2005"	"2005"	265
	"Larynx"	"22020"	"2006"	"2006"	275
	"Larynx"	"22020"	"2007"	"2007"	278
	"Larynx"	"22020"	"2008"	"2008"	302
	"Larynx"	"22020"	"2009"	"2009"	264
	"Larynx"	"22020"	"2010"	"2010"	273
	"Larynx"	"22020"	"2011"	"2011"	300
	"Lung and Bronchus"	"22030"	"2000"	"2000"	3438
	"Lung and Bronchus"	"22030"	"2001"	"2001"	3644
	"Lung and Bronchus"	"22030"	"2002"	"2002"	3627
	"Lung and Bronchus"	"22030"	"2003"	"2003"	3563
	"Lung and Bronchus"	"22030"	"2004"	"2004"	3802
	"Lung and Bronchus"	"22030"	"2005"	"2005"	3762
	"Lung and Bronchus"	"22030"	"2006"	"2006"	3821
	"Lung and Bronchus"	"22030"	"2007"	"2007"	3865
	"Lung and Bronchus"	"22030"	"2008"	"2008"	4122
	"Lung and Bronchus"	"22030"	"2009"	"2009"	4040
	"Lung and Bronchus"	"22030"	"2010"	"2010"	4016
	"Lung and Bronchus"	"22030"	"2011"	"2011"	3967
	"Bones and Joints"	"23000"	"2000"	"2000"	47
	"Bones and Joints"	"23000"	"2001"	"2001"	51
	"Bones and Joints"	"23000"	"2002"	"2002"	51
	"Bones and Joints"	"23000"	"2003"	"2003"	38
	"Bones and Joints"	"23000"	"2004"	"2004"	45
	"Bones and Joints"	"23000"	"2005"	"2005"	46
	"Bones and Joints"	"23000"	"2006"	"2006"	31
	"Bones and Joints"	"23000"	"2007"	"2007"	41
	"Bones and Joints"	"23000"	"2008"	"2008"	51
	"Bones and Joints"	"23000"	"2009"	"2009"	38
	"Bones and Joints"	"23000"	"2010"	"2010"	39
	"Bones and Joints"	"23000"	"2011"	"2011"	51
	"Soft Tissue including Heart"	"24000"	"2000"	"2000"	127
	"Soft Tissue including Heart"	"24000"	"2001"	"2001"	131
	"Soft Tissue including Heart"	"24000"	"2002"	"2002"	137
	"Soft Tissue including Heart"	"24000"	"2003"	"2003"	141
	"Soft Tissue including Heart"	"24000"	"2004"	"2004"	159
	"Soft Tissue including Heart"	"24000"	"2005"	"2005"	135
	"Soft Tissue including Heart"	"24000"	"2006"	"2006"	156
	"Soft Tissue including Heart"	"24000"	"2007"	"2007"	144
	"Soft Tissue including Heart"	"24000"	"2008"	"2008"	155
	"Soft Tissue including Heart"	"24000"	"2009"	"2009"	154
	"Soft Tissue including Heart"	"24000"	"2010"	"2010"	156
	"Soft Tissue including Heart"	"24000"	"2011"	"2011"	134
	"Skin excluding Basal and Squamous"	"25010-25020"	"2000"	"2000"	633
	"Skin excluding Basal and Squamous"	"25010-25020"	"2001"	"2001"	678
	"Skin excluding Basal and Squamous"	"25010-25020"	"2002"	"2002"	681
	"Skin excluding Basal and Squamous"	"25010-25020"	"2003"	"2003"	681
	"Skin excluding Basal and Squamous"	"25010-25020"	"2004"	"2004"	797
	"Skin excluding Basal and Squamous"	"25010-25020"	"2005"	"2005"	979
	"Skin excluding Basal and Squamous"	"25010-25020"	"2006"	"2006"	957
	"Skin excluding Basal and Squamous"	"25010-25020"	"2007"	"2007"	1029
	"Skin excluding Basal and Squamous"	"25010-25020"	"2008"	"2008"	1122
	"Skin excluding Basal and Squamous"	"25010-25020"	"2009"	"2009"	1239
	"Skin excluding Basal and Squamous"	"25010-25020"	"2010"	"2010"	1192
	"Skin excluding Basal and Squamous"	"25010-25020"	"2011"	"2011"	1135
	"Melanoma of the Skin"	"25010"	"2000"	"2000"	578
	"Melanoma of the Skin"	"25010"	"2001"	"2001"	627
	"Melanoma of the Skin"	"25010"	"2002"	"2002"	623
	"Melanoma of the Skin"	"25010"	"2003"	"2003"	631
	"Melanoma of the Skin"	"25010"	"2004"	"2004"	733
	"Melanoma of the Skin"	"25010"	"2005"	"2005"	919
	"Melanoma of the Skin"	"25010"	"2006"	"2006"	905
	"Melanoma of the Skin"	"25010"	"2007"	"2007"	966
	"Melanoma of the Skin"	"25010"	"2008"	"2008"	1063
	"Melanoma of the Skin"	"25010"	"2009"	"2009"	1151
	"Melanoma of the Skin"	"25010"	"2010"	"2010"	1119
	"Melanoma of the Skin"	"25010"	"2011"	"2011"	1075
	"Other Non-Epithelial Skin"	"25020"	"2000"	"2000"	55
	"Other Non-Epithelial Skin"	"25020"	"2001"	"2001"	51
	"Other Non-Epithelial Skin"	"25020"	"2002"	"2002"	58
	"Other Non-Epithelial Skin"	"25020"	"2003"	"2003"	50
	"Other Non-Epithelial Skin"	"25020"	"2004"	"2004"	64
	"Other Non-Epithelial Skin"	"25020"	"2005"	"2005"	60
	"Other Non-Epithelial Skin"	"25020"	"2006"	"2006"	52
	"Other Non-Epithelial Skin"	"25020"	"2007"	"2007"	63
	"Other Non-Epithelial Skin"	"25020"	"2008"	"2008"	59
	"Other Non-Epithelial Skin"	"25020"	"2009"	"2009"	88
	"Other Non-Epithelial Skin"	"25020"	"2010"	"2010"	73
	"Other Non-Epithelial Skin"	"25020"	"2011"	"2011"	60
	"Male and Female Breast"	"26000"	"2000"	"2000"	2995
	"Male and Female Breast"	"26000"	"2001"	"2001"	3117
	"Male and Female Breast"	"26000"	"2002"	"2002"	3087
	"Male and Female Breast"	"26000"	"2003"	"2003"	2914
	"Male and Female Breast"	"26000"	"2004"	"2004"	2943
	"Male and Female Breast"	"26000"	"2005"	"2005"	3092
	"Male and Female Breast"	"26000"	"2006"	"2006"	3262
	"Male and Female Breast"	"26000"	"2007"	"2007"	3273
	"Male and Female Breast"	"26000"	"2008"	"2008"	3476
	"Male and Female Breast"	"26000"	"2009"	"2009"	3445
	"Male and Female Breast"	"26000"	"2010"	"2010"	3431
	"Male and Female Breast"	"26000"	"2011"	"2011"	3455
	"Female Breast"	"26000-Female"	"2000"	"2000"	2953
	"Female Breast"	"26000-Female"	"2001"	"2001"	3085
	"Female Breast"	"26000-Female"	"2002"	"2002"	3046
	"Female Breast"	"26000-Female"	"2003"	"2003"	2886
	"Female Breast"	"26000-Female"	"2004"	"2004"	2917
	"Female Breast"	"26000-Female"	"2005"	"2005"	3068
	"Female Breast"	"26000-Female"	"2006"	"2006"	3229
	"Female Breast"	"26000-Female"	"2007"	"2007"	3238
	"Female Breast"	"26000-Female"	"2008"	"2008"	3422
	"Female Breast"	"26000-Female"	"2009"	"2009"	3413
	"Female Breast"	"26000-Female"	"2010"	"2010"	3392
	"Female Breast"	"26000-Female"	"2011"	"2011"	3424
	"Male Breast"	"26000-Male"	"2000"	"2000"	42
	"Male Breast"	"26000-Male"	"2001"	"2001"	32
	"Male Breast"	"26000-Male"	"2002"	"2002"	41
	"Male Breast"	"26000-Male"	"2003"	"2003"	28
	"Male Breast"	"26000-Male"	"2004"	"2004"	26
	"Male Breast"	"26000-Male"	"2005"	"2005"	24
	"Male Breast"	"26000-Male"	"2006"	"2006"	33
	"Male Breast"	"26000-Male"	"2007"	"2007"	35
	"Male Breast"	"26000-Male"	"2008"	"2008"	54
	"Male Breast"	"26000-Male"	"2009"	"2009"	32
	"Male Breast"	"26000-Male"	"2010"	"2010"	39
	"Male Breast"	"26000-Male"	"2011"	"2011"	31
	"Female Genital System"	"27010-27070"	"2000"	"2000"	1121
	"Female Genital System"	"27010-27070"	"2001"	"2001"	1094
	"Female Genital System"	"27010-27070"	"2002"	"2002"	1163
	"Female Genital System"	"27010-27070"	"2003"	"2003"	1038
	"Female Genital System"	"27010-27070"	"2004"	"2004"	1100
	"Female Genital System"	"27010-27070"	"2005"	"2005"	1103
	"Female Genital System"	"27010-27070"	"2006"	"2006"	1133
	"Female Genital System"	"27010-27070"	"2007"	"2007"	1190
	"Female Genital System"	"27010-27070"	"2008"	"2008"	1252
	"Female Genital System"	"27010-27070"	"2009"	"2009"	1259
	"Female Genital System"	"27010-27070"	"2010"	"2010"	1213
	"Female Genital System"	"27010-27070"	"2011"	"2011"	1185
	"Cervix Uteri"	"27010"	"2000"	"2000"	238
	"Cervix Uteri"	"27010"	"2001"	"2001"	232
	"Cervix Uteri"	"27010"	"2002"	"2002"	261
	"Cervix Uteri"	"27010"	"2003"	"2003"	204
	"Cervix Uteri"	"27010"	"2004"	"2004"	199
	"Cervix Uteri"	"27010"	"2005"	"2005"	195
	"Cervix Uteri"	"27010"	"2006"	"2006"	198
	"Cervix Uteri"	"27010"	"2007"	"2007"	237
	"Cervix Uteri"	"27010"	"2008"	"2008"	197
	"Cervix Uteri"	"27010"	"2009"	"2009"	235
	"Cervix Uteri"	"27010"	"2010"	"2010"	197
	"Cervix Uteri"	"27010"	"2011"	"2011"	202
	"Corpus Uteri"	"27020"	"2000"	"2000"	420
	"Corpus Uteri"	"27020"	"2001"	"2001"	415
	"Corpus Uteri"	"27020"	"2002"	"2002"	381
	"Corpus Uteri"	"27020"	"2003"	"2003"	439
	"Corpus Uteri"	"27020"	"2004"	"2004"	442
	"Corpus Uteri"	"27020"	"2005"	"2005"	463
	"Corpus Uteri"	"27020"	"2006"	"2006"	494
	"Corpus Uteri"	"27020"	"2007"	"2007"	507
	"Corpus Uteri"	"27020"	"2008"	"2008"	519
	"Corpus Uteri"	"27020"	"2009"	"2009"	520
	"Corpus Uteri"	"27020"	"2010"	"2010"	548
	"Corpus Uteri"	"27020"	"2011"	"2011"	529
	"Uterus, NOS"	"27030"	"2001"	"2001"	16
	"Uterus, NOS"	"27030"	"2003"	"2003"	18
	"Uterus, NOS"	"27030"	"2007"	"2007"	22
	"Uterus, NOS"	"27030"	"2008"	"2008"	31
	"Uterus, NOS"	"27030"	"2009"	"2009"	20
	"Uterus, NOS"	"27030"	"2010"	"2010"	35
	"Uterus, NOS"	"27030"	"2011"	"2011"	22
	"Ovary"	"27040"	"2000"	"2000"	352
	"Ovary"	"27040"	"2001"	"2001"	344
	"Ovary"	"27040"	"2002"	"2002"	386
	"Ovary"	"27040"	"2003"	"2003"	286
	"Ovary"	"27040"	"2004"	"2004"	348
	"Ovary"	"27040"	"2005"	"2005"	342
	"Ovary"	"27040"	"2006"	"2006"	336
	"Ovary"	"27040"	"2007"	"2007"	316
	"Ovary"	"27040"	"2008"	"2008"	382
	"Ovary"	"27040"	"2009"	"2009"	359
	"Ovary"	"27040"	"2010"	"2010"	337
	"Ovary"	"27040"	"2011"	"2011"	326
	"Vagina"	"27050"	"2000"	"2000"	21
	"Vagina"	"27050"	"2001"	"2001"	17
	"Vagina"	"27050"	"2002"	"2002"	23
	"Vagina"	"27050"	"2003"	"2003"	19
	"Vagina"	"27050"	"2004"	"2004"	18
	"Vagina"	"27050"	"2005"	"2005"	21
	"Vagina"	"27050"	"2007"	"2007"	22
	"Vagina"	"27050"	"2008"	"2008"	41
	"Vagina"	"27050"	"2009"	"2009"	20
	"Vagina"	"27050"	"2011"	"2011"	25
	"Vulva"	"27060"	"2000"	"2000"	63
	"Vulva"	"27060"	"2001"	"2001"	66
	"Vulva"	"27060"	"2002"	"2002"	92
	"Vulva"	"27060"	"2003"	"2003"	57
	"Vulva"	"27060"	"2004"	"2004"	60
	"Vulva"	"27060"	"2005"	"2005"	49
	"Vulva"	"27060"	"2006"	"2006"	65
	"Vulva"	"27060"	"2007"	"2007"	74
	"Vulva"	"27060"	"2008"	"2008"	71
	"Vulva"	"27060"	"2009"	"2009"	90
	"Vulva"	"27060"	"2010"	"2010"	63
	"Vulva"	"27060"	"2011"	"2011"	67
	"Other Female Genital Organs"	"27070"	"2004"	"2004"	18
	"Other Female Genital Organs"	"27070"	"2005"	"2005"	20
	"Other Female Genital Organs"	"27070"	"2010"	"2010"	20
	"Male Genital System"	"28010-28040"	"2000"	"2000"	2886
	"Male Genital System"	"28010-28040"	"2001"	"2001"	3198
	"Male Genital System"	"28010-28040"	"2002"	"2002"	3176
	"Male Genital System"	"28010-28040"	"2003"	"2003"	3183
	"Male Genital System"	"28010-28040"	"2004"	"2004"	3369
	"Male Genital System"	"28010-28040"	"2005"	"2005"	3466
	"Male Genital System"	"28010-28040"	"2006"	"2006"	3872
	"Male Genital System"	"28010-28040"	"2007"	"2007"	4007
	"Male Genital System"	"28010-28040"	"2008"	"2008"	3898
	"Male Genital System"	"28010-28040"	"2009"	"2009"	3949
	"Male Genital System"	"28010-28040"	"2010"	"2010"	3922
	"Male Genital System"	"28010-28040"	"2011"	"2011"	3819
	"Prostate"	"28010"	"2000"	"2000"	2780
	"Prostate"	"28010"	"2001"	"2001"	3101
	"Prostate"	"28010"	"2002"	"2002"	3062
	"Prostate"	"28010"	"2003"	"2003"	3082
	"Prostate"	"28010"	"2004"	"2004"	3251
	"Prostate"	"28010"	"2005"	"2005"	3339
	"Prostate"	"28010"	"2006"	"2006"	3758
	"Prostate"	"28010"	"2007"	"2007"	3885
	"Prostate"	"28010"	"2008"	"2008"	3754
	"Prostate"	"28010"	"2009"	"2009"	3823
	"Prostate"	"28010"	"2010"	"2010"	3786
	"Prostate"	"28010"	"2011"	"2011"	3707
	"Testis"	"28020"	"2000"	"2000"	85
	"Testis"	"28020"	"2001"	"2001"	85
	"Testis"	"28020"	"2002"	"2002"	92
	"Testis"	"28020"	"2003"	"2003"	80
	"Testis"	"28020"	"2004"	"2004"	99
	"Testis"	"28020"	"2005"	"2005"	105
	"Testis"	"28020"	"2006"	"2006"	89
	"Testis"	"28020"	"2007"	"2007"	94
	"Testis"	"28020"	"2008"	"2008"	115
	"Testis"	"28020"	"2009"	"2009"	99
	"Testis"	"28020"	"2010"	"2010"	111
	"Testis"	"28020"	"2011"	"2011"	85
	"Penis"	"28030"	"2000"	"2000"	17
	"Penis"	"28030"	"2002"	"2002"	18
	"Penis"	"28030"	"2003"	"2003"	16
	"Penis"	"28030"	"2005"	"2005"	18
	"Penis"	"28030"	"2006"	"2006"	24
	"Penis"	"28030"	"2007"	"2007"	20
	"Penis"	"28030"	"2008"	"2008"	24
	"Penis"	"28030"	"2009"	"2009"	23
	"Penis"	"28030"	"2010"	"2010"	18
	"Penis"	"28030"	"2011"	"2011"	22
	"Urinary System"	"29010-29040"	"2000"	"2000"	1251
	"Urinary System"	"29010-29040"	"2001"	"2001"	1365
	"Urinary System"	"29010-29040"	"2002"	"2002"	1474
	"Urinary System"	"29010-29040"	"2003"	"2003"	1477
	"Urinary System"	"29010-29040"	"2004"	"2004"	1571
	"Urinary System"	"29010-29040"	"2005"	"2005"	1667
	"Urinary System"	"29010-29040"	"2006"	"2006"	1657
	"Urinary System"	"29010-29040"	"2007"	"2007"	1725
	"Urinary System"	"29010-29040"	"2008"	"2008"	1832
	"Urinary System"	"29010-29040"	"2009"	"2009"	1877
	"Urinary System"	"29010-29040"	"2010"	"2010"	1944
	"Urinary System"	"29010-29040"	"2011"	"2011"	1906
	"Urinary Bladder, invasive and in situ"	"29010"	"2000"	"2000"	715
	"Urinary Bladder, invasive and in situ"	"29010"	"2001"	"2001"	779
	"Urinary Bladder, invasive and in situ"	"29010"	"2002"	"2002"	838
	"Urinary Bladder, invasive and in situ"	"29010"	"2003"	"2003"	805
	"Urinary Bladder, invasive and in situ"	"29010"	"2004"	"2004"	831
	"Urinary Bladder, invasive and in situ"	"29010"	"2005"	"2005"	897
	"Urinary Bladder, invasive and in situ"	"29010"	"2006"	"2006"	884
	"Urinary Bladder, invasive and in situ"	"29010"	"2007"	"2007"	938
	"Urinary Bladder, invasive and in situ"	"29010"	"2008"	"2008"	950
	"Urinary Bladder, invasive and in situ"	"29010"	"2009"	"2009"	941
	"Urinary Bladder, invasive and in situ"	"29010"	"2010"	"2010"	1029
	"Urinary Bladder, invasive and in situ"	"29010"	"2011"	"2011"	1026
	"Kidney and Renal Pelvis"	"29020"	"2000"	"2000"	492
	"Kidney and Renal Pelvis"	"29020"	"2001"	"2001"	549
	"Kidney and Renal Pelvis"	"29020"	"2002"	"2002"	611
	"Kidney and Renal Pelvis"	"29020"	"2003"	"2003"	639
	"Kidney and Renal Pelvis"	"29020"	"2004"	"2004"	705
	"Kidney and Renal Pelvis"	"29020"	"2005"	"2005"	742
	"Kidney and Renal Pelvis"	"29020"	"2006"	"2006"	727
	"Kidney and Renal Pelvis"	"29020"	"2007"	"2007"	760
	"Kidney and Renal Pelvis"	"29020"	"2008"	"2008"	829
	"Kidney and Renal Pelvis"	"29020"	"2009"	"2009"	898
	"Kidney and Renal Pelvis"	"29020"	"2010"	"2010"	865
	"Kidney and Renal Pelvis"	"29020"	"2011"	"2011"	833
	"Ureter"	"29030"	"2000"	"2000"	30
	"Ureter"	"29030"	"2001"	"2001"	22
	"Ureter"	"29030"	"2002"	"2002"	17
	"Ureter"	"29030"	"2003"	"2003"	21
	"Ureter"	"29030"	"2004"	"2004"	18
	"Ureter"	"29030"	"2005"	"2005"	22
	"Ureter"	"29030"	"2006"	"2006"	36
	"Ureter"	"29030"	"2007"	"2007"	20
	"Ureter"	"29030"	"2008"	"2008"	36
	"Ureter"	"29030"	"2009"	"2009"	30
	"Ureter"	"29030"	"2010"	"2010"	39
	"Ureter"	"29030"	"2011"	"2011"	34
	"Other Urinary Organs"	"29040"	"2004"	"2004"	17
	"Other Urinary Organs"	"29040"	"2008"	"2008"	17
	"Eye and Orbit"	"30000"	"2000"	"2000"	17
	"Eye and Orbit"	"30000"	"2001"	"2001"	23
	"Eye and Orbit"	"30000"	"2002"	"2002"	31
	"Eye and Orbit"	"30000"	"2003"	"2003"	29
	"Eye and Orbit"	"30000"	"2004"	"2004"	39
	"Eye and Orbit"	"30000"	"2005"	"2005"	37
	"Eye and Orbit"	"30000"	"2006"	"2006"	30
	"Eye and Orbit"	"30000"	"2007"	"2007"	51
	"Eye and Orbit"	"30000"	"2008"	"2008"	49
	"Eye and Orbit"	"30000"	"2009"	"2009"	51
	"Eye and Orbit"	"30000"	"2010"	"2010"	52
	"Eye and Orbit"	"30000"	"2011"	"2011"	42
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	278
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	292
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	282
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	286
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	283
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	275
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	281
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	312
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	348
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	342
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	300
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	313
	"Brain"	"31010"	"2000"	"2000"	258
	"Brain"	"31010"	"2001"	"2001"	271
	"Brain"	"31010"	"2002"	"2002"	257
	"Brain"	"31010"	"2003"	"2003"	254
	"Brain"	"31010"	"2004"	"2004"	259
	"Brain"	"31010"	"2005"	"2005"	257
	"Brain"	"31010"	"2006"	"2006"	268
	"Brain"	"31010"	"2007"	"2007"	291
	"Brain"	"31010"	"2008"	"2008"	324
	"Brain"	"31010"	"2009"	"2009"	324
	"Brain"	"31010"	"2010"	"2010"	288
	"Brain"	"31010"	"2011"	"2011"	300
	"Cranial Nerves Other Nervous System"	"31040"	"2000"	"2000"	20
	"Cranial Nerves Other Nervous System"	"31040"	"2001"	"2001"	21
	"Cranial Nerves Other Nervous System"	"31040"	"2002"	"2002"	25
	"Cranial Nerves Other Nervous System"	"31040"	"2003"	"2003"	32
	"Cranial Nerves Other Nervous System"	"31040"	"2004"	"2004"	24
	"Cranial Nerves Other Nervous System"	"31040"	"2005"	"2005"	18
	"Cranial Nerves Other Nervous System"	"31040"	"2007"	"2007"	21
	"Cranial Nerves Other Nervous System"	"31040"	"2008"	"2008"	24
	"Cranial Nerves Other Nervous System"	"31040"	"2009"	"2009"	18
	"Endocrine System"	"32010-32020"	"2000"	"2000"	259
	"Endocrine System"	"32010-32020"	"2001"	"2001"	272
	"Endocrine System"	"32010-32020"	"2002"	"2002"	312
	"Endocrine System"	"32010-32020"	"2003"	"2003"	329
	"Endocrine System"	"32010-32020"	"2004"	"2004"	365
	"Endocrine System"	"32010-32020"	"2005"	"2005"	350
	"Endocrine System"	"32010-32020"	"2006"	"2006"	372
	"Endocrine System"	"32010-32020"	"2007"	"2007"	410
	"Endocrine System"	"32010-32020"	"2008"	"2008"	475
	"Endocrine System"	"32010-32020"	"2009"	"2009"	435
	"Endocrine System"	"32010-32020"	"2010"	"2010"	467
	"Endocrine System"	"32010-32020"	"2011"	"2011"	486
	"Thyroid"	"32010"	"2000"	"2000"	234
	"Thyroid"	"32010"	"2001"	"2001"	242
	"Thyroid"	"32010"	"2002"	"2002"	290
	"Thyroid"	"32010"	"2003"	"2003"	305
	"Thyroid"	"32010"	"2004"	"2004"	330
	"Thyroid"	"32010"	"2005"	"2005"	331
	"Thyroid"	"32010"	"2006"	"2006"	352
	"Thyroid"	"32010"	"2007"	"2007"	389
	"Thyroid"	"32010"	"2008"	"2008"	449
	"Thyroid"	"32010"	"2009"	"2009"	405
	"Thyroid"	"32010"	"2010"	"2010"	438
	"Thyroid"	"32010"	"2011"	"2011"	466
	"Other Endocrine including Thymus"	"32020"	"2000"	"2000"	25
	"Other Endocrine including Thymus"	"32020"	"2001"	"2001"	30
	"Other Endocrine including Thymus"	"32020"	"2002"	"2002"	22
	"Other Endocrine including Thymus"	"32020"	"2003"	"2003"	24
	"Other Endocrine including Thymus"	"32020"	"2004"	"2004"	35
	"Other Endocrine including Thymus"	"32020"	"2005"	"2005"	19
	"Other Endocrine including Thymus"	"32020"	"2006"	"2006"	20
	"Other Endocrine including Thymus"	"32020"	"2007"	"2007"	21
	"Other Endocrine including Thymus"	"32020"	"2008"	"2008"	26
	"Other Endocrine including Thymus"	"32020"	"2009"	"2009"	30
	"Other Endocrine including Thymus"	"32020"	"2010"	"2010"	29
	"Other Endocrine including Thymus"	"32020"	"2011"	"2011"	20
	"Lymphomas"	"33011-33042"	"2000"	"2000"	818
	"Lymphomas"	"33011-33042"	"2001"	"2001"	858
	"Lymphomas"	"33011-33042"	"2002"	"2002"	923
	"Lymphomas"	"33011-33042"	"2003"	"2003"	876
	"Lymphomas"	"33011-33042"	"2004"	"2004"	967
	"Lymphomas"	"33011-33042"	"2005"	"2005"	988
	"Lymphomas"	"33011-33042"	"2006"	"2006"	881
	"Lymphomas"	"33011-33042"	"2007"	"2007"	950
	"Lymphomas"	"33011-33042"	"2008"	"2008"	912
	"Lymphomas"	"33011-33042"	"2009"	"2009"	977
	"Lymphomas"	"33011-33042"	"2010"	"2010"	1013
	"Lymphomas"	"33011-33042"	"2011"	"2011"	955
	"Hodgkin Lymphoma"	"33011-33012"	"2000"	"2000"	110
	"Hodgkin Lymphoma"	"33011-33012"	"2001"	"2001"	104
	"Hodgkin Lymphoma"	"33011-33012"	"2002"	"2002"	118
	"Hodgkin Lymphoma"	"33011-33012"	"2003"	"2003"	104
	"Hodgkin Lymphoma"	"33011-33012"	"2004"	"2004"	106
	"Hodgkin Lymphoma"	"33011-33012"	"2005"	"2005"	127
	"Hodgkin Lymphoma"	"33011-33012"	"2006"	"2006"	108
	"Hodgkin Lymphoma"	"33011-33012"	"2007"	"2007"	111
	"Hodgkin Lymphoma"	"33011-33012"	"2008"	"2008"	123
	"Hodgkin Lymphoma"	"33011-33012"	"2009"	"2009"	126
	"Hodgkin Lymphoma"	"33011-33012"	"2010"	"2010"	112
	"Hodgkin Lymphoma"	"33011-33012"	"2011"	"2011"	105
	"Hodgkin - Nodal"	"33011"	"2000"	"2000"	103
	"Hodgkin - Nodal"	"33011"	"2001"	"2001"	96
	"Hodgkin - Nodal"	"33011"	"2002"	"2002"	112
	"Hodgkin - Nodal"	"33011"	"2003"	"2003"	90
	"Hodgkin - Nodal"	"33011"	"2004"	"2004"	101
	"Hodgkin - Nodal"	"33011"	"2005"	"2005"	119
	"Hodgkin - Nodal"	"33011"	"2006"	"2006"	106
	"Hodgkin - Nodal"	"33011"	"2007"	"2007"	108
	"Hodgkin - Nodal"	"33011"	"2008"	"2008"	112
	"Hodgkin - Nodal"	"33011"	"2009"	"2009"	118
	"Hodgkin - Nodal"	"33011"	"2010"	"2010"	101
	"Hodgkin - Nodal"	"33011"	"2011"	"2011"	98
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2000"	"2000"	708
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2001"	"2001"	754
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2002"	"2002"	805
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2003"	"2003"	772
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2004"	"2004"	861
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2005"	"2005"	861
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2006"	"2006"	773
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2007"	"2007"	839
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2008"	"2008"	789
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2009"	"2009"	851
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2010"	"2010"	901
	"Non-Hodgkin Lymphoma"	"33041-33042"	"2011"	"2011"	850
	"NHL - Nodal"	"33041"	"2000"	"2000"	515
	"NHL - Nodal"	"33041"	"2001"	"2001"	547
	"NHL - Nodal"	"33041"	"2002"	"2002"	555
	"NHL - Nodal"	"33041"	"2003"	"2003"	515
	"NHL - Nodal"	"33041"	"2004"	"2004"	568
	"NHL - Nodal"	"33041"	"2005"	"2005"	559
	"NHL - Nodal"	"33041"	"2006"	"2006"	507
	"NHL - Nodal"	"33041"	"2007"	"2007"	571
	"NHL - Nodal"	"33041"	"2008"	"2008"	522
	"NHL - Nodal"	"33041"	"2009"	"2009"	597
	"NHL - Nodal"	"33041"	"2010"	"2010"	625
	"NHL - Nodal"	"33041"	"2011"	"2011"	582
	"NHL - Extranodal"	"33042"	"2000"	"2000"	193
	"NHL - Extranodal"	"33042"	"2001"	"2001"	207
	"NHL - Extranodal"	"33042"	"2002"	"2002"	250
	"NHL - Extranodal"	"33042"	"2003"	"2003"	257
	"NHL - Extranodal"	"33042"	"2004"	"2004"	293
	"NHL - Extranodal"	"33042"	"2005"	"2005"	302
